name,nationality,fastestLapTime
"Force India",Indian,01:17.2
"Red Bull",Austrian,01:17.2
McLaren,British,01:17.2
"Red Bull",Austrian,01:17.2
"Red Bull",Austrian,01:17.2
Honda,Japanese,01:17.2
"BMW Sauber",German,01:17.2
"BMW Sauber",German,01:17.2
Sauber,Swiss,01:17.2
"Super Aguri",Japanese,01:17.2
"Super Aguri",Japanese,01:17.2
Toyota,Japanese,01:17.2
Williams,British,01:17.2
Toyota,Japanese,01:17.2
"Red Bull",Austrian,01:17.2
Ferrari,Italian,01:17.3
"Haas F1 Team",American,01:17.3
McLaren,British,01:17.3
Sauber,Swiss,01:17.3
Marussia,Russian,01:17.3
Jordan,Irish,01:17.3
McLaren,British,01:17.3
Ferrari,Italian,01:17.3
MF1,Russian,01:17.3
Honda,Japanese,01:17.3
Renault,French,01:17.3
Lotus,Malaysian,01:17.3
Honda,Japanese,01:17.3
"BMW Sauber",German,01:17.3
"Lotus F1",British,01:17.3
Williams,British,01:17.4
"BMW Sauber",German,01:17.4
McLaren,British,01:17.4
McLaren,British,01:17.4
Ferrari,Italian,01:17.4
Honda,Japanese,01:17.4
"Toro Rosso",Italian,01:17.4
Sauber,Swiss,01:17.4
"BMW Sauber",German,01:17.4
"Toro Rosso",Italian,01:17.4
Williams,British,01:17.4
"Red Bull",Austrian,01:17.4
Honda,Japanese,01:17.4
McLaren,British,01:17.4
"Lotus F1",British,01:17.4
BAR,British,01:17.4
Renault,French,01:17.4
Toyota,Japanese,01:17.5
"Toro Rosso",Italian,01:17.5
Sauber,Swiss,01:17.5
Williams,British,01:17.5
"Toro Rosso",Italian,01:17.5
"Force India",Indian,01:17.5
McLaren,British,01:17.5
"Red Bull",Austrian,01:17.5
McLaren,British,01:17.5
Jaguar,British,01:17.5
McLaren,British,01:17.5
"BMW Sauber",German,01:17.5
Toyota,Japanese,01:17.5
Mercedes,German,01:17.5
"BMW Sauber",German,01:17.5
"BMW Sauber",German,01:17.5
BAR,British,01:17.5
Ferrari,Italian,01:17.5
Renault,French,01:17.5
Toyota,Japanese,01:17.5
Sauber,Swiss,01:17.5
Minardi,Italian,01:17.5
"BMW Sauber",German,01:17.6
Caterham,Malaysian,01:17.6
Williams,British,01:17.6
Mercedes,German,01:17.6
Renault,French,01:17.6
"Red Bull",Austrian,01:17.6
Honda,Japanese,01:17.6
Williams,British,01:17.6
MF1,Russian,01:17.6
Jordan,Irish,01:17.6
Toyota,Japanese,01:17.6
"Red Bull",Austrian,01:17.6
McLaren,British,01:17.6
"Red Bull",Austrian,01:17.6
Renault,French,01:17.6
"Lotus F1",British,01:17.6
Sauber,Swiss,01:17.6
"Red Bull",Austrian,01:17.6
Williams,British,01:17.6
Sauber,Swiss,01:17.6
"Red Bull",Austrian,01:17.6
McLaren,British,01:17.7
Spyker,Dutch,01:17.7
"BMW Sauber",German,01:17.7
Williams,British,01:17.7
"Toro Rosso",Italian,01:17.7
"Red Bull",Austrian,01:17.7
"Red Bull",Austrian,01:17.7
"Force India",Indian,01:17.7
BAR,British,01:17.7
Williams,British,01:17.7
HRT,Spanish,01:17.7
HRT,Spanish,01:17.7
"Haas F1 Team",American,01:17.7
Virgin,British,01:17.7
Marussia,Russian,01:17.7
Ferrari,Italian,01:17.7
"Toro Rosso",Italian,01:17.7
Spyker,Dutch,01:17.7
Ferrari,Italian,01:17.8
"Red Bull",Austrian,01:17.8
"BMW Sauber",German,01:17.8
Renault,French,01:17.8
Toyota,Japanese,01:17.8
McLaren,British,01:17.8
"Red Bull",Austrian,01:17.8
"Super Aguri",Japanese,01:17.8
Sauber,Swiss,01:17.8
"Lotus F1",British,01:17.8
Mercedes,German,01:17.8
"Force India",Indian,01:17.8
Sauber,Swiss,01:17.8
McLaren,British,01:17.8
Renault,French,01:17.8
"Red Bull",Austrian,01:17.8
Toyota,Japanese,01:17.8
"Toro Rosso",Italian,01:17.8
Toyota,Japanese,01:17.8
Sauber,Swiss,01:17.8
Sauber,Swiss,01:17.8
Williams,British,01:17.8
McLaren,British,01:17.8
"Toro Rosso",Italian,01:17.9
Ferrari,Italian,01:17.9
"BMW Sauber",German,01:17.9
Ferrari,Italian,01:17.9
BAR,British,01:17.9
Mercedes,German,01:17.9
"Toro Rosso",Italian,01:17.9
Williams,British,01:17.9
Renault,French,01:17.9
Williams,British,01:17.9
Sauber,Swiss,01:17.9
"BMW Sauber",German,01:17.9
"Red Bull",Austrian,01:17.9
"Force India",Indian,01:17.9
Toyota,Japanese,01:17.9
"BMW Sauber",German,01:17.9
"Toro Rosso",Italian,01:17.9
Renault,French,01:17.9
Williams,British,01:17.9
"Red Bull",Austrian,01:17.9
Williams,British,01:17.9
Renault,French,01:17.9
Williams,British,01:18.0
Minardi,Italian,01:18.0
"Super Aguri",Japanese,01:18.0
"Red Bull",Austrian,01:18.0
"Lotus F1",British,01:18.0
Honda,Japanese,01:18.0
Honda,Japanese,01:18.0
Ferrari,Italian,01:18.0
Toyota,Japanese,01:18.0
Honda,Japanese,01:18.0
Williams,British,01:18.0
Sauber,Swiss,01:18.0
Ferrari,Italian,01:18.0
Lotus,Malaysian,01:18.0
"Red Bull",Austrian,01:18.0
Honda,Japanese,01:18.0
Ferrari,Italian,01:18.0
